name,address,city,state,zip_code,country,latitude,longitude
"Kentucky Fried Chicken - Albertville, AL - 7285 U.S. Highway 431",7285 U.S. Highway 431,Albertville,AL,35950,US,34.27596018,-86.20613484
"Kentucky Fried Chicken - Alexander City, AL - 955 Airport Drive",955 Airport Drive,Alexander City,AL,35010,US,32.92047863,-85.95232716
"Kentucky Fried Chicken - Anniston, AL - 2000 Quintard Avenue",2000 Quintard Avenue,Anniston,AL,36201,US,33.67059193,-85.82724268
"Kentucky Fried Chicken - Athens, AL - 205 U.S. Highway 72 W",205 U.S. Highway 72 W,Athens,AL,35611,US,34.78936719,-86.97187727
"Kentucky Fried Chicken - Atmore, AL - 1225 South Main Street",1225 South Main Street,Atmore,AL,36502,US,31.00628246,-87.49338625
"Kentucky Fried Chicken - Attalla, AL - 500 Cherry Street",500 Cherry Street,Attalla,AL,35954,US,34.01830519,-86.07748234
"Kentucky Fried Chicken - Auburn, AL - 1580 Opelika Road",1580 Opelika Road,Auburn,AL,36830,US,32.6243413,-85.44643673
"Kentucky Fried Chicken - Bessemer, AL - 1818 Ninth Avenue North",1818 Ninth Avenue North,Bessemer,AL,35020,US,33.40636565,-86.96164664
KFC 1653 Center Point Pkwy,1653 Center Point Pkwy,Birmingham,AL,35215,US,33.6140028,-86.6864518
KFC 1674 Gadsden Highway,1674 Gadsden Highway,Birmingham,AL,35235,US,33.5838638,-86.6729476
KFC 1800 20th Street Ensley,1800 20th Street Ensley,Birmingham,AL,35218,US,33.5096676,-86.8856735
KFC 1928 Bessemer Road,1928 Bessemer Road,Birmingham,AL,35208,US,33.4922296,-86.8830602
KFC 7909 Crestwood Boulevard,7909 Crestwood Boulevard,Birmingham,AL,35210,US,33.5305862,-86.7137439
KFC 828 Green Springs Highway,828 Green Springs Highway,Birmingham,AL,35209,US,33.459027,-86.817193
"Kentucky Fried Chicken - Centre, AL - 1925 West Main Street",1925 West Main Street,Centre,AL,35960,US,34.160115,-85.714185
"Kentucky Fried Chicken - Childersburg, AL - Highway 280 Box 104B",Highway 280 Box 104B,Childersburg,AL,35044,US,33.2648622,-86.3511794
KFC 1620 Second Avenue Southwest,1620 Second Avenue Southwest,Cullman,AL,35055,US,,
KFC 5799 Alabama Highway 157,5799 Alabama Highway 157,Cullman,AL,35058,US,,
"Kentucky Fried Chicken - Decatur, AL - 2208 Beltline Road",2208 Beltline Road,Decatur,AL,35601,US,34.58474405,-87.02358524
"Kentucky Fried Chicken - Demopolis, AL - 105 Highway 80 East",105 Highway 80 East,Demopolis,AL,36732,US,32.5037361,-87.8374426
KFC 109 N.E. Ross Clark Circle,109 N.E. Ross Clark Circle,Dothan,AL,36303,US,,
KFC 1801 S.E. Ross Clark Circle,1801 S.E. Ross Clark Circle,Dothan,AL,36301,US,,
"Kentucky Fried Chicken - Enterprise, AL - 612 Boll Weevil Circle",612 Boll Weevil Circle,Enterprise,AL,36330,US,31.31762678,-85.83109028
"Kentucky Fried Chicken - Fairfield, AL - 7159 Aaron Aronov Drive",7159 Aaron Aronov Drive,Fairfield,AL,35064,US,33.46718436,-86.91571335
"Kentucky Fried Chicken - Florence, AL - 241 Cox Creek Parkway",241 Cox Creek Parkway,Florence,AL,35630,US,34.83340019,-87.62988764
"Kentucky Fried Chicken - Foley, AL - 2460 South McKenzie Street",2460 South McKenzie Street,Foley,AL,36535,US,30.3799293,-87.6837566
"Kentucky Fried Chicken - Forestdale, AL - 1229 Forestdale Boulevard",1229 Forestdale Boulevard,Forestdale,AL,35214,US,33.56072559,-86.89180612
"Kentucky Fried Chicken - Fort Payne, AL - 308 Greenhill Boulevard N.W",308 Greenhill Boulevard N.W,Fort Payne,AL,35967,US,34.46873032,-85.70200388
"Kentucky Fried Chicken - Gadsden, AL - 579 E. Meighan Boulevard",579 E. Meighan Boulevard,Gadsden,AL,35903,US,34.00776964,-85.98402149
"Kentucky Fried Chicken - Gardendale, AL - 531 Fieldstown Road",531 Fieldstown Road,Gardendale,AL,35071,US,33.65166094,-86.82084776
"Kentucky Fried Chicken - Geneva, AL - 1502 W. Magnolia",1502 W. Magnolia,Geneva,AL,36340,US,31.04923386,-85.8980467
"Kentucky Fried Chicken - Greenville, AL - 108 Greenville By-Pass",108 Greenville By-Pass,Greenville,AL,36037,US,31.84812962,-86.63931446
