name,address,city,state,zip_code,country,latitude,longitude,searched
KFC 1620 Second Avenue Southwest,1620 Second Avenue Southwest,Cullman,AL,35055,US,,,True
KFC 5799 Alabama Highway 157,5799 Alabama Highway 157,Cullman,AL,35058,US,,,True
KFC 109 N.E. Ross Clark Circle,109 N.E. Ross Clark Circle,Dothan,AL,36303,US,,,True
KFC 1801 S.E. Ross Clark Circle,1801 S.E. Ross Clark Circle,Dothan,AL,36301,US,,,True
KFC 7874 Highway 72 West,7874 Highway 72 West,Madison,AL,35758,US,,,True
KFC 5437 Highway 90 W,5437 Highway 90 W,Mobile,AL,36619,US,,,True
KFC 1101 Lurleen Wallace Boulevard South,1101 Lurleen Wallace Boulevard South,Tuscaloosa,AL,35401,US,,,True
KFC 3050 Service Road I-55,3050 Service Road I-55,Marion,AR,72364,US,,,True
KFC 3350 N. Stockton Hill,3350 N. Stockton Hill,Kingman,AZ,86409,US,,,True
KFC 3225 East Rincon Road,3225 East Rincon Road,Littlefield,AZ,86432,US,,,True
KFC 11183 S. Frontage Drive,11183 S. Frontage Drive,Yuma,AZ,85367,US,,,True
KFC 12042 Valley View Blvd,12042 Valley View Blvd,Garden Grove,CA,92845,US,,,True
KFC 81769 US Highway 111,81769 US Highway 111,Indio,CA,92201,US,,,True
KFC 1601 East Seventh Street,1601 East Seventh Street,Long Beach,CA,90813,US,,,True
KFC 5925 West Third Street,5925 West Third Street,Los Angeles,CA,90036,US,,,True
KFC 2050 Fair Oaks Boulevard,2050 Fair Oaks Boulevard,Pasadena,CA,91103,US,,,True
KFC 1695 Hollenbeck Road,1695 Hollenbeck Road,Sunnyvale,CA,94087,US,,,True
KFC 16502 South Crenshaw Boulevard,16502 South Crenshaw Boulevard,Torrance,CA,90504,US,,,True
KFC 14284 Outer 7th Street,14284 Outer 7th Street,Victorville,CA,92395,US,,,True
KFC 9185 North Federal Boulevard,9185 North Federal Boulevard,Westminster,CO,80260,US,,,True
KFC 4301 North Main Street,4301 North Main Street,Bridgeport,CT,6606,US,,,True
KFC 525 First Street East,525 First Street East,Bradenton,FL,34208,US,,,True
KFC 6440 E. State Road 64,6440 E. State Road 64,Bradenton,FL,34208,US,,,True
KFC 510 U.S. Hwy 27,510 U.S. Hwy 27,Clermont,FL,34714,US,,,True
KFC 590 E. South Highway 50,590 E. South Highway 50,Clermont,FL,34711,US,,,True
KFC 14470 So. Military Trail,14470 So. Military Trail,Delray Beach,FL,33484,US,,,True
KFC 405 South Fourth Street,405 South Fourth Street,Fort Pierce,FL,34950,US,,,True
KFC Newell Dr & Stadium Rd,Newell Dr & Stadium Rd,Gainesville,FL,32611,US,,,True
KFC 6712 Forest Hills Blvd,6712 Forest Hills Blvd,Greenacres,FL,33413,US,,,True
KFC 30010 S. Federal Hwy,30010 S. Federal Hwy,Homestead,FL,33033,US,,,True
KFC 1907 W. Irlo Bronson Hwy,1907 W. Irlo Bronson Hwy,Kissimmee,FL,34741,US,,,True
KFC 1924 E Irlo Bronson Memorial Hwy,1924 E Irlo Bronson Memorial Hwy,Kissimmee,FL,34744,US,,,True
KFC 3185 S. John Young Parkway,3185 S. John Young Parkway,Kissimmee,FL,34746,US,,,True
KFC 3630 U.S. Highway 98 N,3630 U.S. Highway 98 N,Lakeland,FL,33809,US,,,True
KFC 3515 N.W. Seventh Avenue,3515 N.W. Seventh Avenue,Miami,FL,33127,US,,,True
KFC 4200 NW 21 Street,4200 NW 21 Street,Miami,FL,33122,US,,,True
KFC 4200 NW 21 Street Mia Terminal 5 Pre-S,4200 NW 21 Street Mia Terminal 5 Pre-S,Miami,FL,33122,US,,,True
KFC 4312 U.S. Highway 19,4312 U.S. Highway 19,New Port Richey,FL,34652,US,,,True
KFC 13801 North East Biscayne Boulevard,13801 North East Biscayne Boulevard,North Miami Beach,FL,33181,US,,,True
KFC 13545 S.W. 17th Court,13545 S.W. 17th Court,Ocala,FL,34473,US,,,True
KFC 3325 NW Pine Avenue,3325 NW Pine Avenue,Ocala,FL,34475,US,,,True
KFC Mile Post 263,Mile Post 263,Ocoee,FL,34761,US,,,True
KFC Mile Post 263,Mile Post 263,Ocoee,FL,34761,US,,,True
KFC 3387 Highway 441 South,3387 Highway 441 South,Okeechobee,FL,34974,US,,,True
KFC Mile Marker 184,Mile Marker 184,Okeechobee,FL,34972,US,,,True
KFC Mile Marker 184,Mile Marker 184,Okeechobee,FL,34972,US,,,True
KFC 426 East Michigan Street,426 East Michigan Street,Orlando,FL,32806,US,,,True
KFC 5200 S John Young Parkway,5200 S John Young Parkway,Orlando,FL,32839,US,,,True
KFC 6217 International Rd,6217 International Rd,Orlando,FL,32819,US,,,True
KFC 1641 N.W. Saint Lucie West Boulevard,1641 N.W. Saint Lucie West Boulevard,Port Saint Lucie,FL,34986,US,,,True
KFC 246 S.W. Port St. Lucie Boulevard,246 S.W. Port St. Lucie Boulevard,Port Saint Lucie,FL,34984,US,,,True
KFC 2515 County Road 208,2515 County Road 208,Saint Augustine,FL,32084,US,,,True
KFC 6300 Ninth Street N,6300 Ninth Street N,Saint Petersburg,FL,33702,US,,,True
KFC Mile Post 94,Mile Post 94,West Palm Beach,FL,33414,US,,,True
KFC Mile Post 94,Mile Post 94,West Palm Beach,FL,33414,US,,,True
KFC Mile Post 299 Florida Turnpike,Mile Post 299 Florida Turnpike,Wildwood,FL,34785,US,,,True
KFC Mile Post 299 Florida Turnpike,Mile Post 299 Florida Turnpike,Wildwood,FL,34785,US,,,True
KFC 23 Joseph E Lowery Blvd. SW,23 Joseph E Lowery Blvd. SW,Atlanta,GA,30314,US,,,True
KFC 3510 Cascade Rd. SW,3510 Cascade Rd. SW,Atlanta,GA,30331,US,,,True
KFC 3901 Buford Hwy NE,3901 Buford Hwy NE,Atlanta,GA,30329,US,,,True
KFC 2029 Windsor Springs Road,2029 Windsor Springs Road,Augusta,GA,30906,US,,,True
KFC 3750 Sixes Road,3750 Sixes Road,Canton,GA,30114,US,,,True
KFC 1675 Highway 138 SE,1675 Highway 138 SE,Conyers,GA,30013,US,,,True
KFC 2182 Highway 441 South,2182 Highway 441 South,Dublin,GA,31021,US,,,True
KFC 675 Georgia Highway 120,675 Georgia Highway 120,Lawrenceville,GA,30045,US,,,True
KFC 1130 Powder Spring Road,1130 Powder Spring Road,Marietta,GA,30064,US,,,True
KFC 11502 Abercorn Extension,11502 Abercorn Extension,Savannah,GA,31419,US,,,True
KFC 19 Mersy Way,19 Mersy Way,Savannah,GA,31405,US,,,True
KFC 405 W. Gwinnet Street,405 W. Gwinnet Street,Savannah,GA,31401,US,,,True
KFC 102 Highway 138 W,102 Highway 138 W,Stockbridge,GA,30281,US,,,True
KFC 1334 Edgewood Road South West,1334 Edgewood Road South West,Cedar Rapids,IA,52404,US,,,True
KFC 1341 First Avenue SE,1341 First Avenue SE,Cedar Rapids,IA,52402,US,,,True
KFC 10556 South Indianapolis,10556 South Indianapolis,Chicago,IL,60617,US,,,True
KFC 4120 S. Calumet Avenue,4120 S. Calumet Avenue,Hammond,IN,46320,US,,,True
KFC 1426 East Tenth Street,1426 East Tenth Street,Jeffersonville,IN,47130,US,,,True
KFC 5501 Highway 62,5501 Highway 62,Jeffersonville,IN,47130,US,,,True
KFC 241 U.S. Highway 6 S,241 U.S. Highway 6 S,Ligonier,IN,46767,US,,,True
"KFC 241 U.S. Highway 6, S","241 U.S. Highway 6, S",Ligonier,IN,46767,US,,,True
KFC 3924 N. Portage Road,3924 N. Portage Road,South Bend,IN,46628,US,,,True
KFC 3211 SW Topeka Avenue,3211 SW Topeka Avenue,Topeka,KS,66611,US,,,True
KFC 160 Russell Rd,160 Russell Rd,Ashland,KY,41102,US,,,True
KFC 9309 U.S. Highway 60,9309 U.S. Highway 60,Ashland,KY,41102,US,,,True
KFC 1201 US 31W Byp,1201 US 31W Byp,Bowling Green,KY,42101,US,,,True
KFC 435 West Dixie Highway,435 West Dixie Highway,Elizabethtown,KY,42701,US,,,True
KFC 5975 Centennial Circle,5975 Centennial Circle,Florence,KY,41042,US,,,True
KFC 8055 U.S. 42,8055 U.S. 42,Florence,KY,41042,US,,,True
KFC 1229 U. S. Highway 127 S,1229 U. S. Highway 127 S,Frankfort,KY,40601,US,,,True
KFC 1911 W Broadway St,1911 W Broadway St,Louisville,KY,40203,US,,,True
KFC One Arena Plaza,One Arena Plaza,Louisville,KY,40202,US,,,True
